mikel1234;1234;mikel.lopez@opendeusto.es;85158289F;Mikel;Lopez;15/5/1967;2200;false
diego30;1234;diego.rojo@opendeusto.es;17498277S;Diego;Rojo;30/5/1999;2878;false
admin;admin;admin@concesionario.es;00000000A;Gerente;Concesionario;1/1/1970;0;true
ventasPlus;vent9;concesionario1@concesionario.es;189927488E;Ines;Lopez;04/11/1968;2500;false
Joselu1887;concs1887;Joselulu1@concesionaro.es;177647893S;Jose;Luis;27/08/1974;2000;false
Anita1888;concs1888;aninnn1@concesionario.es;433228938P;Ana;Bolt;20/12/1987;2000;false
Kepa1889;concs1889;kepaapek123@concesionario.es;122315475C;Kepa;Toquero;15/11/1980;2000;false
audi1234;a12345;seccionAudi@consecionario.es;186733698R;Veronica;Ramires;18/09/1960;2600;false
aitor13;aitor1;aitor1122@gmail.com;111728349G;Aitor;Rodriguez;15/02/1989;2500;true
LaCristina;lacris1234;cirsBumpinera@gmail.com;129837458S;Cristina;Rubio;11/05/1999;2600;true
